gene/TE,TCGA-18-4721-01.bam.T,TCGA-68-7757-01.bam.C,TCGA-05-4395-01_RNA.bam.T,TCGA-05-4403_RNA.bam.C,TCGA-20-1683-01.bam.T,TCGA-30-1862-01.bam.C,TCGA-20-1684-01.bam.T,TCGA-61-2016-01.bam.C,TCGA-22-5471-01.bam.T,TCGA-22-4607-01.bam.C,TCGA-23-1110-01.bam.T,TCGA-13-0725-01.bam.C,TCGA-24-2261-01.bam.T,TCGA-29-2414-01.bam.C,TCGA-3C-AALK-01.bam.T,TCGA-LD-A7W5-01.bam.C,TCGA-43-3920-01_RNA.bam.T,TCGA-43-5670-01_RNA.bam.C,TCGA-58-8393-01.bam.T,TCGA-21-5782-01.bam.C,TCGA-85-8070-01.bam.T,TCGA-85-8584-01.bam.C,TCGA-AP-A1DK-01.bam.T,TCGA-B5-A11E-01.bam.C,TCGA-AP-A1DV-01.bam.T,TCGA-D1-A0ZP-01.bam.C,TCGA-AX-A2HD-01.bam.T,TCGA-D1-A17B-01.bam.C,TCGA-B5-A3FC-01.bam.T,TCGA-AX-A2HC-01.bam.C,TCGA-BG-A0MS-01_RNA.bam.T,TCGA-D1-A2G6_RNA.bam.C,TCGA-BH-A0C1-01.bam.T,TCGA-AQ-A7U7-01.bam.C,TCGA-BR-8284-01.bam.T,TCGA-D7-A6EY-01.bam.C,TCGA-C5-A1M7-01.bam.T,TCGA-C5-A2M1-01.bam.C,TCGA-CD-8527-01.bam.T,TCGA-CD-5803-01.bam.C,TCGA-CN-A641-01.bam.T,TCGA-F7-7848-01.bam.C,TCGA-CV-7236-01.bam.T,TCGA-CV-7425-01.bam.C,TCGA-DK-A1AC-01_RNA.bam.T,TCGA-DK-A1AD_RNA.bam.C,TCGA-DK-AA6Q-01.bam.T,TCGA-XF-A8HH-01.bam.C,TCGA-DM-A1D4-01.bam.T,TCGA-A6-4105-01.bam.C,TCGA-DM-A1HB-01.bam.T,TCGA-AZ-6605-01.bam.C,TCGA-DU-A6S8-01.bam.T,TCGA-FG-A713-01.bam.C,TCGA-EW-A1PB-01_RNA.bam.T,TCGA-A2-A259_RNA.bam.C,TCGA-EX-A69M-01.bam.T,TCGA-VS-A9V3-01.bam.C,TCGA-EY-A2OM-01.bam.T,TCGA-FI-A2D0-01.bam.C,TCGA-G9-6385-01_RNA.bam.T,TCGA-HC-7232_RNA.bam.C,TCGA-IR-A3LL-01_RNA.bam.T,TCGA-IR-A3LA_RNA.bam.C,TCGA-JW-A5VJ-01.bam.T,TCGA-JW-A5VH-01.bam.C,TCGA-KC-A4BR-01.bam.T,TCGA-XK-AAIR-01.bam.C,TCGA-KP-A3W0-01.bam.T,TCGA-EO-A3AU-01.bam.C,TCGA-SX-A71U-01.bam.T,TCGA-EV-5903-01.bam.C,TCGA-VP-A87D-01.bam.T,TCGA-2A-A8W1-01.bam.C
(CATTC)n:Satellite:Satellite,12.299163527988238,23.549294789034725,14.61603548502714,13.59424107432297,642.5871235187095,1167.0271046345176,217.60068583674803,149.7502263449256,53.27357973621942,6.11420843806632,257.7184666515995,122.2705709490012,729.2886278223565,628.5122943730964,23.20530064222579,78.26348741481259,89.14539281110288,57.17907575760283,17.83984455890431,109625.44557827318,49.55162732571903,176.4978515276008,1235.6722149935374,1565.423482032047,4849.061277829224,417.94624886806696,282.07693559209366,497.2918689646282,684.6670399315159,889.959345247757,368.37779490325926,39.20285674251462,53.72241729352242,47.93673226327805,1200.948302890419,591.3526412491094,88.10085574314714,29.696371169014608,1011.5437684667219,173.76278994666717,41.04318024671104,41.31642737472319,15.036837892243383,10.993296440357694,100.67988328293185,385.5924008789137,28.54115051048473,125.83719679858416,196.7615952773343,25.88849907218173,239.86042861066286,42.546074996640534,193.72634843888702,189.60187474691222,43.832502436891836,17.061233861036047,56.8353208851256,11.941646855395579,840.5715609647403,3541.501861156241,38.037320361565655,14.695359749025933,39.885206630245484,21.197224430086994,143.9861402701454,47.0177377142851,64.29028631550202,13.30629012574356,81.70492785291574,17.650510769304937,67.32690751631775,13.537727275917106,57.74629469451619,46.45233613856868
(GAATG)n:Satellite:Satellite,10.2493029399902,25.360779003575857,16.240039427807933,11.195257355324799,517.929394199739,612.2929912807263,237.9583383578575,72.26319061993503,35.04840772119698,6.11420843806632,99.76198709094174,162.6072541486717,525.625963945757,230.75379950555111,38.951754649450436,68.48055148796101,45.280199523099874,53.60538352275265,60.65547150027465,88092.5015276341,72.42160916835859,140.57351006623074,1661.900922064093,1319.3677585690152,2022.147213609515,540.5019158293798,167.27818273484624,407.5030592904592,539.8580556046276,466.3045770627225,356.62105676804885,132.68659205158795,36.75744341135745,92.509483315098,1114.826886511037,191.85738782098917,102.19699266205068,52.432655345291415,979.9330257021369,125.72248919670625,37.9455817375253,43.700067415572605,12.98635999784656,13.191955728429233,71.56762787581903,236.37342382645735,36.532672653420455,50.112158017135286,178.87417752484936,32.64202056927262,187.18837503061866,26.18219999793264,68.74160751057282,131.32597385067513,31.14414646831788,30.710220949864883,60.624342277467306,66.34248252997543,369.85148682448573,1644.0172655665651,33.129279024589444,47.75991918433428,66.8663758212939,42.39444886017399,158.62879860270257,80.47266647252643,85.09008482934091,72.74105268739812,53.53081480018618,27.456350085585456,68.4490226415897,14.289823235690278,118.4794667008177,73.54953221940042
7SK:RNA:RNA,207.035919387802,1143.0465393754548,561.0933622307641,204.7132773545106,7788.760970377345,6927.920017147726,2256.5326838954243,7379.98717216722,576.8967910909023,2206.4649700871832,4320.248274299394,7126.987712841781,1028.5196487800029,59955.58350966216,293.38130097671177,479.3638604157271,754.1983233066322,370.47276167946836,306.8453264131541,1641.7903368951131,336.69695490552675,281.1470201324615,707.7742750437667,9528.29577410292,719.5161249099623,2224.8567232976798,413.2755102860907,393.689396263664,268.02364642959157,466.3045770627225,928.7823126816216,1664.613609374467,643.9621336105122,429.7485997637734,1470.5974272782776,1535.689654030342,346.53003258971205,170.754134221834,20582.206196060826,1963.519526397339,218.3806948975946,166.85480285945903,64.24830735776719,74.75441579443232,350.56007552731694,431.8106681075506,191.79653143045738,355.23952016591454,401.5725285432868,184.59625425381756,181.51600002969082,211.63944998328884,544.7251625459028,379.20374949382443,643.6456936785696,499.3254443329883,314.4887755643617,185.7589510839312,586.5321558731744,936.4209692520478,214.72680849270935,159.1997306144476,319.0816530419639,376.25073363404414,199.30284952647244,212.4840069780192,479.34081120528714,251.04534037236184,320.2457516993594,134.33999863304314,675.5133054137214,181.25512630533458,368.3815351201895,186.7771015571616
ACRO1:acro:Satellite,16.39888470398432,19.92632635995246,0.8120019713903966,7.196951156994514,63.11123534558754,412.0881984913879,34.83420542500956,187.6231033565783,68.69487913354608,0.0,130.2448164798406,1062.6194980413197,142.88861155806987,159.82169771201595,11.602650321112895,36.336619156877276,82.07036163561853,195.36184217180968,15.163867875068663,7864.646867687407,69.88050007473197,132.7638706181068,707.7742750437667,169.6936023882978,119.3510159803255,433.65851386310703,744.5519113884333,41.440989080385684,561.4523778288126,14.216602959229345,141.0808576225248,78.40571348502924,6.361865205811866,2.522985908593582,128.88515416776505,34.0526099595695,12.921458842328246,14.848185584507304,507.5782123913372,26.57548552125498,128.55033813120818,61.974641062084785,3.417463157328042,1.4657728587143593,118.87504291237738,182.23202507291126,3.4249380612581675,8.908828091935161,13.415563314363702,16.883803742727217,1.620678571693668,56.728099995520715,185.3940323769994,18.87810874103455,1.1534869062339956,6.824493544414418,2.84176604425628,5.307398602398035,280.1905203215801,80.96873042404926,28.22123768761323,126.13517117913925,2.346188625308558,174.8771015482177,13.015696295606364,12.658621692307527,27.417916222787625,18.62880617604098,326.819711411663,2.941751794884156,33.66345375815887,21.05868687364883,104.5407059124862,11.61308403464217
ALINE:RTE:LINE,137.34065939586867,86.95124229797437,69.02016756818371,54.37696429729188,190.37686695156572,189.36036651324912,124.86026879613816,76.18107444872669,75.00359252336155,184.95480525150617,268.80313188392637,258.4068767478891,342.3759588631674,175.983442424467,43.924319072784535,114.60010657168986,161.3107108010433,132.22661268945654,80.2793005150694,593.1707545367922,111.80880011957116,62.47711558499144,215.06953109064733,114.54318161210101,160.2713643164371,197.9745389375054,52.47942987759882,48.3478205937833,78.75576340585154,59.70973242876325,125.40520677557761,54.280878566558705,45.94680426419681,64.7566383205686,216.19445215238008,82.22459478042393,67.54398940307946,56.144701741418245,400.101686991748,97.10273555843165,199.02070421518374,85.81104147057893,37.59209473060846,39.5758671852877,198.93374528193766,145.25741129000173,97.03991173564809,82.40665985040025,173.50795219910387,159.83334209781765,116.6888571619441,90.54677499285037,84.36470012661209,69.76692360817115,103.81382156105961,80.75650694223728,45.46825670810048,66.34248252997543,74.7174720857547,77.44835084039494,72.39360972039916,56.332212371266074,299.13904972684117,94.06268340851103,82.97506388449057,78.66429194505392,67.12662247648005,57.660590544888755,55.40908900370148,51.970948376286756,243.49898218401583,200.0575252996639,64.71567508868193,74.51728922228726
ALR/Alpha:centr:Satellite,321.82811231569224,1720.9100038140762,483.14117297728603,243.89667809814742,1837.5279514256604,3338.4149197622155,3965.6707111121273,593.3417398492255,333.6608415057953,638.9347817779304,1368.9561561923674,897.4912011926685,883.775340967932,2279.7038791618456,1957.5328613191898,1484.9099174685423,2719.641983856186,1251.9835129425119,391.5845880679496,859260.389734369,1968.088993013815,1062.1109649448545,6839.211088682585,2278.1366120628977,2601.852148371096,2202.8595523046233,2148.3766606142017,873.7141864447981,1592.8988275957715,9545.027226826582,881.7553601407801,663.4329602579397,1755.874796804075,1185.8033770389834,4020.3852929106065,710.1215003763884,426.4081417968321,129.45761806492305,2139.5957031229145,1054.8423483821207,1563.5128475115018,915.3177756861753,488.69723149790997,301.21632246580083,742.362512881377,1710.0758874595658,381.309770820076,580.1874294872774,907.7864509386104,402.9601159930896,232.56737503804135,451.642949964338,2972.553755078406,1960.0401597213263,703.6270128027373,899.6957322719675,794.747237043673,636.8878322877641,2039.7869879411032,1137.0826055203438,1673.642095908889,1625.0618655797844,233.44576821820152,2302.5485037181998,274.95658424468445,254.98080837362303,2198.1605247579737,5666.70542154999,1143.8689899408205,809.962327524771,3153.143502014214,569.3366415482916,4101.97817485184,5866.542951500071
AluJb:Alu:SINE,62842.576046255905,109594.79497973854,87692.15290030588,59458.011814130004,184365.65218001284,173892.87789699947,146045.3467941612,115917.12288118253,81758.12165939063,74833.3256256032,142199.62793290513,100432.03856042959,191265.221127683,136361.12951248075,108480.63669871946,117792.138808394,136057.09452326945,109869.59406823384,128191.7710469187,346746.3607696632,173311.26351261616,122261.46748826974,364241.75785512035,154658.74921669462,170344.59006517657,107361.90671110907,145197.46261384652,80146.87288146591,105271.05058865389,152151.77151085614,113464.27974291558,107192.67275149422,76938.98405126519,142785.0235156423,264045.88685597526,133578.42225384203,98806.28439401608,90380.90565289596,192404.6564031604,83156.73846412385,75962.40824076187,86111.38011572596,51135.50122309949,57640.78478251282,131051.24373640232,119293.30928287432,86615.54192319865,130451.96975020657,148075.6216386208,118684.13561604287,91723.114104289,88936.56969297751,128928.00950460252,108978.39703797306,73260.26038873353,118773.48564698854,102673.95443432748,119160.38657139007,138488.83451094633,206259.03980630633,108726.61272769982,88935.09258779252,119852.69973526237,137241.42957259825,130869.57232824809,116745.0427445699,110219.07777021927,111554.6138981837,115944.92744589798,92779.9098588514,145864.86724922765,86730.20188912272,130046.64690359165,104346.46332226857
AluJo:Alu:SINE,30358.43530825097,55451.34329131861,45161.11364281969,29146.852524588114,92018.26745569623,90719.46510594214,68083.22830704205,56646.07035794605,38375.90355024742,37818.67201760446,71687.3012237659,53427.19741931356,94423.39249232816,61047.39915245886,55013.966497556794,61624.110965513326,67229.77624192253,58658.58434283081,64702.4402384621,172282.88179833576,85978.4261828566,58080.28857569766,169979.22630871544,74359.73656655209,79712.8385587454,52045.306569570865,68210.13898340907,33612.095559949485,47657.398894528036,74509.216109321,55440.85813294051,49012.61774123771,43586.55227284061,71798.29199145328,125525.23104736391,62425.90901905276,44363.479578980885,41709.01731268053,95780.55057669272,42182.45046064122,36724.35352527883,40641.06269648252,27297.328715473464,25471.46785230878,65025.86148371239,62768.36846225138,45979.7934723909,73686.03075190721,73097.82701641732,55758.19906689854,41852.40343541728,42594.07569663675,61621.643435689846,60785.868571458115,38239.24442856319,64609.75521615277,51112.951327341536,59034.19465447334,67507.23602947936,96307.0242700311,54703.80173160264,49482.950114907566,59248.301354917014,62302.617079606316,63115.55178045069,55050.53736531796,52430.61938106588,51975.256317162726,55055.034316338846,43545.77123573853,75020.12881518231,40311.59134788228,70272.26251437323,53109.53656142731
AluJr4:Alu:SINE,6481.659179249802,11473.941014903534,6657.604163429862,5445.6930421258485,20134.57039707203,19203.81056168065,14443.528267588053,11535.991273664327,7702.238080810249,7081.017647335557,15452.023333863644,10878.299250411137,19685.225862441624,12169.793768475642,11505.685314857881,12355.149294475905,14409.008491991439,11566.850533465073,12465.591385534386,43639.729462591735,17811.904191775775,11803.489061894506,34626.19450559422,16125.134566947998,16177.17770887612,12305.845944115415,14212.08560372723,6751.427804346167,10723.486365680625,16661.85866821679,11059.17167252125,9625.809132469743,8018.070781058222,15497.86144118751,28952.23836434044,14698.269230597598,9092.595651731071,8340.040240497947,20744.775730278692,9114.369399731948,7088.8541882715635,8234.681794454445,5113.208375994216,5092.827797603041,17893.119979596722,15380.118811769547,8683.359631309875,18951.30455856907,14422.624933828603,12474.87979204305,7831.118858423804,9530.32079924748,15123.153652326018,11888.283782832366,6988.97716487178,13676.285063006495,9741.573999710528,11377.735753890787,13430.465607414406,19168.466832997747,10272.530518291216,9980.598496213446,10044.033504945937,13147.578452761458,12015.928123900101,13543.821023505317,10273.209575062427,10516.404629379327,10234.716134954893,9090.99363012367,15572.713708524294,7314.133208794103,13405.105375292516,10395.645725010518
AluJr:Alu:SINE,30592.119415282745,59510.879416105294,34886.852698817005,28216.84650285649,93542.84713268097,93812.62915453743,66505.7364327952,57296.43907352547,41531.662181464,34943.46549960378,75694.40770525206,56592.366529137704,99728.36415845326,60962.99893007161,56166.77268303308,61122.38610869337,64689.84004992365,54806.14411366231,62454.61982404015,192554.58294116135,80981.33515023984,57853.80903170207,169854.0949451718,71848.27125120528,82123.72908154796,54977.215217645346,64874.41522181419,32576.070832939844,46815.22032778482,64651.42361739137,49100.057365350374,46705.680402158956,42513.51767479367,71424.89007698144,133576.6925676322,66609.39673530524,44257.17121305082,40535.54664570494,98365.4061707568,41869.67743873722,35912.008316244865,44328.55383967656,24817.617448516237,25806.39695052501,66083.60676350415,63369.20593622366,40688.26416774703,65930.89589787765,69995.2544072488,56047.47490435727,39301.45536357145,44942.837221451286,60311.38673495802,54227.77775229003,39891.03767829027,62468.00165879738,46816.20106842604,56380.495353274324,64186.04439526757,92635.26836427965,52425.243540911426,49072.70465524726,57266.94506084394,63102.8123018421,60636.87511715615,51806.31346303229,52476.00075964153,49153.43572449671,48912.13853374204,43759.53853283345,72913.91872504684,38597.56465555922,68720.08193801546,50110.45760948097
